FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
26131120,"Pompano, baked or broiled, fat added in cooking",Pompano,"Pelagic, average (excluding tuna)",996,996,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26131121,"Pompano, baked or broiled, no added fat",Pompano,"Pelagic, average (excluding tuna)",996,996,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26131131,"Pompano, coated, baked or broiled, no added fat",Pompano,"Pelagic, average (excluding tuna)",996,996,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26131140,"Pompano, coated, fried",Pompano,"Pelagic, average (excluding tuna)",996,996,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26131160,"Pompano, steamed or poached",Pompano,"Pelagic, average (excluding tuna)",996,996,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26133120,"Porgy, baked or broiled, fat added",Porgy,"Demersal, average",1306,1306,
26133120,"Porgy, baked or broiled, fat added in cooking",Porgy,"Demersal, average",1306,1306,
26133121,"Porgy, baked or broiled, fat not added in cooking",Porgy,"Demersal, average",1306,1306,
26133121,"Porgy, baked or broiled, no added fat",Porgy,"Demersal, average",1306,1306,
26133130,"Porgy, coated, baked or broiled, fat added",Porgy,"Demersal, average",1306,1306,
26133130,"Porgy, coated, baked or broiled, fat added in cooking",Porgy,"Demersal, average",1306,1306,
26133140,"Porgy, coated, fried",Porgy,"Demersal, average",1306,1306,
26133110,"Porgy, cooked, NS as to cooking method",Porgy,"Demersal, average",1306,1306,
26133160,"Porgy, steamed or poached",Porgy,"Demersal, average",1306,1306,
26135120,"Ray, baked or broiled, fat added in cooking",Ray,"Demersal, average",1306,1306,
27450310,Lomi salmon,Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
